MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_POSITION,44.3230000,73.6980972,0.0254331,-0.1452060
MsgID.LOCAL_VELOCITY,44.3230000,-0.0000194,-0.0000039,0.0000178
MsgID.GLOBAL_POSITION,0.0000000,-122.3974553,37.7931441,0.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,44.5730000,73.7438126,-0.1771442,-0.1702553
MsgID.LOCAL_VELOCITY,44.5730000,-0.0000199,-0.0000058,0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3974542,37.7931448,0.1950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,44.8240000,73.8175278,-0.0847217,-0.1951649
MsgID.LOCAL_VELOCITY,44.8240000,-0.0000284,0.0000128,0.0000121
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931430,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.0740000,73.6177444,-0.0535202,-0.2116440
MsgID.LOCAL_VELOCITY,45.0740000,-0.0000237,-0.0000031,0.0000214
MsgID.GLOBAL_POSITION,0.0000000,-122.3974545,37.7931423,0.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.3250000,73.5390320,-0.1132693,-0.2217329
MsgID.LOCAL_VELOCITY,45.3250000,-0.0000277,-0.0000032,0.0000192
MsgID.GLOBAL_POSITION,0.0000000,-122.3974548,37.7931424,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.5750000,73.5527039,-0.1340970,-0.2221646
MsgID.LOCAL_VELOCITY,45.5750000,-0.0000205,0.0000015,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3974533,37.7931440,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.8250000,73.7356110,-0.0077620,-0.2109879
MsgID.LOCAL_VELOCITY,45.8250000,-0.0000271,0.0000019,0.0000200
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974525,37.7931448,0.1880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,46.0750000,73.8218613,0.0635391,-0.1883215
MsgID.LOCAL_VELOCITY,46.0750000,-0.0000222,0.0000075,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974542,37.7931446,0.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,46.3250000,73.7972183,-0.0868909,-0.1504313
MsgID.LOCAL_VELOCITY,46.3250000,-0.0000304,0.0000001,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931438,0.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,46.5750000,73.7110825,-0.0566698,-0.1089874
MsgID.LOCAL_VELOCITY,46.5750000,-0.0000284,-0.0000061,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931449,0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,46.8260000,73.8320465,-0.0522697,-0.0588211
MsgID.LOCAL_VELOCITY,46.8260000,-0.0000335,0.0000086,0.0000196
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7931451,0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.0760000,73.8587646,-0.0136803,-0.0219194
MsgID.LOCAL_VELOCITY,47.0760000,-0.0000198,-0.0000100,0.0000213
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7931446,-0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.3260000,73.7969437,0.0874428,0.0217492
MsgID.LOCAL_VELOCITY,47.3260000,-0.0000192,-0.0000041,0.0000205
MsgID.GLOBAL_POSITION,0.0000000,-122.3974540,37.7931427,-0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.5760000,73.5909653,-0.0652274,0.0411163
MsgID.LOCAL_VELOCITY,47.5760000,-0.0000221,0.0000039,0.0000228
MsgID.GLOBAL_POSITION,0.0000000,-122.3974543,37.7931432,-0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.8260000,73.6388321,-0.0912366,0.0406477
MsgID.LOCAL_VELOCITY,47.8260000,-0.0000281,0.0000132,0.0000157
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974541,37.7931437,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.0770000,73.6978989,-0.0781003,0.0186373
MsgID.LOCAL_VELOCITY,48.0770000,-0.0000312,0.0000011,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7931437,0.0270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.3270000,73.7033081,0.1042132,-0.0275086
MsgID.LOCAL_VELOCITY,48.3270000,-0.0000202,-0.0000006,0.0000204
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7931439,0.0790000
